CustomerID,CustomerName,BirthDate,Gender,MaritalStatus,TotalChildren,HouseOwnerFlag,NumberCarsOwned,Education,Occupation,Continent,Country,State,City,YearlyIncome,DateFirstPurchase
11000,Jon Yang,1971-10-06,M,M,2,1,0,Bachelors,Professional,Pacific,Australia,Queensland,Rockhampton,90000.00,2011-01-19
11001,Eugene Huang,1976-05-10,M,S,3,0,1,Bachelors,Professional,Pacific,Australia,Victoria,Seaford,60000.00,2011-01-15
11002,Ruben Torres,1971-02-09,M,M,3,1,1,Bachelors,Professional,Pacific,Australia,Tasmania,Hobart,60000.00,2011-01-07
11003,Christy Zhu,1973-08-14,F,S,0,0,1,Bachelors,Professional,Pacific,Australia,New South Wales,North Ryde,70000.00,2010-12-29
11004,Elizabeth Johnson,1979-08-05,F,S,5,1,4,Bachelors,Professional,Pacific,Australia,New South Wales,Wollongong,80000.00,2011-01-23
11005,Julio Ruiz,1976-08-01,M,S,0,1,1,Bachelors,Professional,Pacific,Australia,Queensland,East Brisbane,70000.00,2010-12-30
11006,Janet Alvarez,1976-12-02,F,S,0,1,1,Bachelors,Professional,Pacific,Australia,New South Wales,Matraville,70000.00,2011-01-24
11007,Marco Mehta,1969-11-06,M,M,3,1,2,Bachelors,Professional,Pacific,Australia,Victoria,Warrnambool,60000.00,2011-01-09
11008,Rob Verhoff,1975-07-04,F,S,4,1,3,Bachelors,Professional,Pacific,Australia,Victoria,Bendigo,60000.00,2011-01-25
11009,Shannon Carlson,1969-09-29,M,S,0,0,1,Bachelors,Professional,Pacific,Australia,Queensland,Hervey Bay,70000.00,2011-01-27
11010,Jacquelyn Suarez,1969-08-05,F,S,0,0,1,Bachelors,Professional,Pacific,Australia,Queensland,East Brisbane,70000.00,2011-01-14
11011,Curtis Lu,1969-05-03,M,M,4,1,4,Bachelors,Professional,Pacific,Australia,Queensland,East Brisbane,60000.00,2010-12-30
11012,Lauren Walker,1979-01-14,F,M,2,1,2,Bachelors,Management,North America,United States,Washington,Bremerton,100000.00,2013-03-16
11013,Ian Jenkins,1979-08-03,M,M,2,1,3,Bachelors,Management,North America,United States,Oregon,Lebanon,100000.00,2013-04-13
11014,Sydney Bennett,1973-11-06,F,S,3,0,3,Bachelors,Management,North America,United States,Washington,Redmond,100000.00,2013-03-23
11015,Chloe Young,1984-08-26,F,S,0,0,1,Partial College,Skilled Manual,North America,United States,California,Burbank,30000.00,2013-01-18
11016,Wyatt Hill,1984-10-25,M,M,0,1,1,Partial College,Skilled Manual,North America,United States,California,Imperial Beach,30000.00,2013-02-09
11017,Shannon Wang,1949-12-24,F,S,4,1,2,High School,Skilled Manual,Pacific,Australia,Victoria,Sunbury,20000.00,2011-01-12
11018,Clarence Rai,1955-10-06,M,S,2,1,2,Partial College,Clerical,Pacific,Australia,Victoria,Bendigo,30000.00,2011-01-17
11019,Luke Lal,1983-09-04,M,S,0,0,2,High School,Skilled Manual,North America,Canada,British Columbia,Langley,40000.00,2013-02-12
11020,Jordan King,1984-03-19,M,S,0,0,2,High School,Skilled Manual,North America,Canada,British Columbia,Metchosin,40000.00,2012-12-29
